Candidate Number,Candidate,Coalition,Party,Twitter - Number of Mentions,Twitter - Number of Users,Twitter- Total Favorites,Twitter - Total Retweets,Twitter - Total Replies,Twitter - Percent News,Twitter - Percent Non-news,Facebook - Number of Candidate Posts,Facebook - Total Comments,Facebook - Total Shares,Facebook - Total Reactions,Political Party,Win,Cash Contributions Received from Other Sources,In-Kind Contributions Received from Other Sources,Cash Contributions Received from Political Party,In-Kind Contributions Received from Political Party,Total Contributions Received,Expenditures Paid Out of Personal Funds,Expenditures Paid Out of Cash Contributions,Expenditures Incurred Using In-Kind Contribution,Total Expenditures Incurred,Difference (Contribution less Expenditure),Unpaid Obligation / Balance,Travel Expenses,"Compensation of campaigners, etc.",Communications,"Stationery, Printing, and Distribution",Employment of Poll Watchers,"Rent, Maintenance, etc.",Political Meetings and Rallies,Pol Ads,Total SLE,Employment of Counsel,Copying and Classifying List of Voters,Printing of Sample Ballots,Total Expenditures,Difference Total in SCE minus Total SLE
1,Abner Afuang,WPP,WPP,199.0,112.0,656.0,200.0,105.0,0.11,0.89,77.0,436.0,15473.0,76567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Agnes Escudero,KKK,Independent,256.0,186.0,3294.0,612.0,332.0,0.09,0.91,28.0,108.0,3310.0,29973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Allan Montaño,Labor Win,Independent,182.0,80.0,1304.0,304.0,109.0,0.23,0.77,0.0,0.0,0.0,0.0,Independent,0.0,0.0,0.0,0.0,0.0,0.0,129195.0,0.0,0.0,129195.0,-129195.0,0.0,0.0,0.0,129195.0,0.0,0.0,0.0,0.0,0.0,129195.0,0.0,0.0,0.0,129195.0,0.0
4,Balde Baldevarona,,Independent,61.0,20.0,162.0,27.0,52.0,0.51,0.49,0.0,0.0,0.0,0.0,Filipino Family Party,0.0,0.0,0.0,0.0,0.0,0.0,520398.88,0.0,0.0,520398.88,-520398.88,0.0,121101.82,0.0,14754.71,214073.8,0.0,0.0,170468.55,0.0,520398.88,0.0,0.0,0.0,520398.88,0.0
5,Bam Aquino,Otso Diretso,Liberal,11690.0,5395.0,160642.0,38127.0,9104.0,0.03,0.97,62.0,4125.0,26970930.0,4577542.0,Independent,0.0,126350000.0,300000.0,0.0,0.0,126650000.0,0.0,125627172.59,300000.0,125927172.59,722827.41,0.0,2378203.01,392000.0,71301.08,2861646.45,0.0,102347.1,0.0,120121674.95,125927172.59,0.0,0.0,0.0,125927172.59,0.0
6,Bato Dela Rosa,HNP,PDP–Laban,3693.0,2618.0,131776.0,40006.0,4560.0,0.03,0.97,42.0,2028.0,57653386.0,6022055.0,PDP - Lakas ng Bayan,1.0,52000000.0,40604861.86,0.0,0.0,92604861.86,96554.93,52000000.0,40604861.86,92701416.79,-96554.93,0.0,912526.77,300000.0,18351.45,14793520.0,0.0,1248.0,23840.59,76175929.98,92225416.79,476000.0,0.0,0.0,92701416.79,476000.0
7,Bernard Austria,,PDSP,90.0,46.0,328.0,123.0,43.0,0.01,0.99,26.0,29.0,120.0,808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BFG Abraham,,Independent,11.0,11.0,15.0,21.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bong Go,HNP,PDP–Laban,28196.0,13886.0,507904.0,128472.0,26222.0,0.03,0.97,20.0,2097.0,105584151.0,36036642.0,PDP - Lakas ng Bayan,1.0,155038000.0,6997537.34,0.0,0.0,162035537.34,415500.0,154005261.97,6997537.34,161418299.31,617238.03,0.0,26111243.64,6126022.0,1420114.03,10045682.29,0.0,271830.07,515000.0,116428407.28,160918299.31,500000.0,0.0,0.0,161418299.31,500000.0
10,Bong Revilla,HNP,Lakas,31898.0,25072.0,493596.0,152640.0,18471.0,0.0,1.0,44.0,5186.0,474160400.0,37620052.0,Lakas Christian Muslim Democrats,1.0,14200000.0,5524884.5,2861120.0,92989230.71,115575235.21,6377123.72,17061120.0,98514115.21,121952358.93,-6377123.72,0.0,2807280.92,312000.0,103850.0,4330004.5,0.0,150000.0,0.0,114249223.51,121952358.93,0.0,0.0,0.0,121952358.93,0.0
11,Butch Valdes,KDP,KDP,146.0,80.0,870.0,232.0,126.0,0.04,0.96,12.0,76.0,2834.0,13415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Charlie Gaddi,KKK,Independent,65.0,27.0,6678.0,2557.0,83.0,0.43,0.57,10.0,11.0,23.0,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Chel Diokno,Otso Diretso,Liberal,28687.0,12558.0,1746006.0,389785.0,26165.0,0.01,0.99,44.0,3372.0,129955053.0,8643742.0,Liberal Party,0.0,26055000.0,92715.0,0.0,0.0,26147715.0,185546.14,26147715.0,0.0,26333261.14,-185546.14,0.0,1172260.99,357667.54,416437.09,826884.87,0.0,91872.75,0.0,23468137.9,26333261.14,0.0,0.0,0.0,26333261.14,0.0
14,Cynthia Villar,HNP,Nacionalista,4453.0,2463.0,65250.0,16707.0,4086.0,0.07,0.93,49.0,2972.0,101955998.0,14129593.0,Nacionalista Party,1.0,0.0,0.0,0.0,0.0,0.0,135529061.0,0.0,0.0,135529061.0,-135529061.0,0.0,5085489.12,2382080.68,317512.48,4878749.93,300000.0,0.0,356720.64,121958508.24,135279061.09,100000.0,0.0,150000.0,135529061.09,249999.91
15,Dado Padilla,,PFP,338.0,242.0,2521.0,1046.0,207.0,0.11,0.89,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
